wavelength,Back_DigSitf,Belly_DigSitf,Breast_DigSitf,Crissum_DigSitf,Crown_DigSitf,DorTail_DigSitf,Rump_DigSitf,Throat_DigSitf,WingTip_DigSitf
184.49,-39.1436666666,-14.067,11.6208333333,-17.6275714285,3.97566666665,-37.07975,-40.9785,-7.03333333333,1.682
184.87,-30.9295,-8.01266666668,14.4233333334,-16.3003571429,9.13466666668,-35.4165833334,-36.2178333334,-4.968,2.0835
185.25,-42.3333333333,-16.5,2.5,-24.5238095238,-4.0,-49.9166666667,-48.3333333333,-13.8333333333,-10.6666666667
185.63,-65.1515,-37.5,-9.2805,-42.2078333333,-16.4773333333,-70.54925,-69.8865,-40.1515,-28.9771666667
186.01,-58.5318333334,-35.9128333334,-7.14283333335,-34.6090476191,-12.897,-63.5911666666,-65.6745,-46.8256666667,-37.3018333333
186.39,-65.4041666669,-37.3736666667,-7.82833333335,-48.1240714286,-7.07099999999,-74.8736666666,-77.7778333331,-64.3941666667,-44.6973333334
186.77,-70.5130000002,-39.7436666667,3.3335,-40.9158809524,-1.282,-79.23075,-71.0255,-63.3333333333,-44.6153333333
187.15,-107.2915,-55.903,4.5138333333,-53.8192142858,-5.90266666667,-117.013833334,-91.3193333335,-85.7638333333,-54.8611666667
187.53,-173.655833333,-112.903333333,-24.1936666665,-87.9417857142,-31.7205,-181.720666666,-159.677333334,-149.4625,-114.516333333
187.91,-347.777833333,-222.222333333,-28.8890000002,-193.015785714,-58.8886666667,-375.5555,-327.777833333,-336.666333334,-187.777666667
188.29,367.708333333,268.75,101.041666667,243.303571428,129.166666666,407.291666666,387.5,414.583333333,243.75
188.67,205.376166667,168.279833333,88.7095,148.771190477,56.4515,221.23675,209.1395,243.0105,129.032166667
189.05,189.583333334,147.5,85.4166666667,132.619047619,47.9166666667,185.833333333,183.75,192.083333334,92.9166666667
189.43,151.282166667,128.525666667,68.9105,109.340714285,29.1666666667,146.955166666,147.435833333,157.692333333,63.1408333333
189.81,167.886333333,146.748,69.1056666666,118.408666666,20.325,179.268333334,158.943,165.8535,69.5118333333
190.19,167.0,150.666666667,76.0,132.238095238,32.3333333333,183.666666667,155.666666667,161.0,79.3333333333
190.57,200.757666667,189.394,82.9543333334,147.078047619,43.9396666667,218.560833333,190.530333333,187.500166667,101.136666667
190.95,168.0,163.0,78.3333333333,134.857142857,34.6666666667,197.666666667,154.666666667,169.333333333,90.3333333333
191.33,168.027166667,162.925333333,86.3944999998,151.409238095,33.3333333334,196.258583333,160.884166666,168.707333333,92.5168333334
191.71,159.394,150.909166667,94.8485000001,146.79652381,36.9698333334,196.666916667,148.181833333,161.8185,76.3636666667
192.09,180.272166667,175.850333333,116.6665,167.832785715,52.381,224.319666666,172.108833334,190.476,105.7825
192.47,237.5,230.729166667,134.375,227.678571428,56.25,305.989583334,228.125,251.5625,133.854166667
192.85,201.315833333,203.070166667,97.8071666667,190.601547619,73.2455000002,260.307083334,178.508666667,199.5615,128.070166667
193.23,175.193666667,194.186166666,81.3951666665,166.555904762,83.3334999999,243.023166667,143.0235,177.131666667,139.1475
193.61,141.851666667,150.3705,48.1481666667,126.613761905,61.8521666667,219.07425,98.5183333335,139.629333333,117.407666667
193.99,138.095,128.968166667,37.6985,109.807190476,44.0475,224.00775,83.3333333333,144.444666667,85.3173333334
194.37,145.945833333,142.792833333,47.7476666667,108.108214286,46.3965,240.315333334,78.829,150.0,86.4865
194.75,113.0,104.666666667,53.0,99.5714285713,46.0,180.833333333,51.3333333333,111.0,63.6666666667
195.13,103.472,95.3703333334,71.5278333334,92.327857143,62.5003333333,142.129833333,58.3331666667,99.3055,74.5373333334
195.51,97.5903333335,92.5701666669,73.2933333334,85.7430238095,65.462,129.21675,54.6183333333,105.823333333,74.4981666666
195.89,106.1965,99.1451666669,71.5811666667,91.0560714284,70.5125,133.653833333,53.4188333333,111.5385,83.5468333333
196.27,97.1633333333,88.475,66.8438333334,78.3939761903,57.2695,119.858166667,44.149,93.9713333334,72.163
196.65,92.0,86.1666666668,66.5,74.4047619046,49.3333333333,111.416666667,40.3333333333,88.5,62.8333333333
197.03,91.7561666667,84.2295000001,71.6846666667,70.0203809523,43.3691666667,114.336833333,41.9353333334,89.0685,58.7816666667
197.40,84.4551666667,73.7178333334,74.5191666666,68.7501666667,40.5448333333,108.653833333,44.2308333333,87.3396666667,54.9678333334
197.78,101.241166666,85.8156666666,98.0498333331,93.2624285716,53.3688333333,121.631333333,58.5106666667,102.6595,63.6526666666
198.16,81.0541666666,75.7833333335,85.8971666666,81.9494999999,47.2935,95.3703333334,51.2821666667,76.2108333333,57.9773333333
198.54,73.205,59.487,78.4613333333,74.5786904762,43.5896666667,85.44875,42.9488333333,62.8205,47.9486666666
198.92,69.7761666667,54.353,76.617,68.7633571428,41.2933333333,78.98025,42.2886666667,57.7115,47.6366666667
199.30,72.9691666666,57.703,77.5911666666,71.8290238095,41.7366666666,81.2325,46.3586666667,56.3023333333,50.2803333334
199.68,73.3893333334,61.0643333333,79.972,70.5081666667,43.2771666667,88.0951666667,47.199,45.7983333334,53.7813333334
200.06,72.3545,60.0528333333,80.4231666667,67.8193095238,44.3121666667,88.6905,49.8676666666,48.016,53.9681666666
200.44,66.8035,58.3331666667,77.1858333333,66.0811190476,44.399,83.7430833334,48.3608333333,48.4976666666,53.0055
