wavelength,Back_OryNutm,Belly_OryNutm,Breast_OryNutm,Crissum_OryNutm,Crown_OryNutm,DorTail_OryNutm,Rump_OryNutm,Throat_OryNutm,WingTip_OryNutm
190.95,26.2120666667,83.9393,11.2121333334,145.303066667,88.3837999999,10.4544666667,70.5303,63.1818666667,66.5153333333
191.33,44.7619333333,89.8638333333,37.3471333333,154.694,92.6077333333,34.4217,83.8775666666,81.7687333334,86.8027333331
191.71,42.1537999999,65.4872,32.7178,119.282133333,72.1367333333,30.4614666667,65.1280666667,66.4614666667,65.6410666667
192.09,39.1011333333,54.0449666667,29.5879666667,87.0411333334,57.0787777778,23.4830666667,51.1236333333,48.9138,53.633
192.47,41.3332666667,48.7406666667,23.2963666667,84.3702666667,55.8025333333,18.6666333334,46.5925333333,45.7035333333,52.7406
192.85,44.5878,47.3117666667,23.5841666667,80.7885333333,54.9820666667,17.4195,46.7025333333,45.2328666667,53.9783333333
193.23,50.4041333333,49.4442,23.7879,90.5050000001,60.8754222221,12.8283666667,44.1414,50.6060666667,61.3132666667
193.61,50.3030666666,48.8637666667,1.21206666668,121.666733333,73.8384666665,-2.4241,43.4092,48.1818000001,72.5757333333
193.99,44.0652,34.8780666667,-6.74803333334,120.9756,69.4308666667,-17.8048,44.1463666666,32.0324666667,64.7154666667
194.37,46.1111333334,34.9998666667,-5.74073333334,125.925866667,67.0370444445,-34.537,32.0370666666,28.8888666666,64.4443333333
194.75,52.5926000001,21.6048666667,-33.2098666666,134.568066667,69.1357777779,-65.4322,19.0122333334,12.5926000001,58.2718666666
195.13,35.8333333333,11.0416666666,-91.0416666667,201.666666667,66.25,-153.125,-41.25,-42.0833333333,51.6666666667
195.51,-24.9999999999,-50.4166666667,-300.0,296.666666667,62.7777777776,-434.583333333,-190.833333334,-169.166666667,-48.3333333333
195.89,-59.9999999994,-33.3332333332,-893.3333,831.111,154.814822222,-1136.66676667,-447.777866667,-408.888799999,-222.222266667
196.27,101.1112,112.500033333,314.4446,-128.888933333,67.2221555558,357.222266667,185.5556,216.111,146.110933333
196.65,43.75,28.5416666667,182.916666667,-125.833333333,24.3055555554,198.75,102.5,124.166666667,89.5833333332
197.03,73.7777333332,59.7778666667,138.1113,-9.77786666674,68.5185777779,147.777733333,107.5555,119.111,110.888866667
197.40,190.0,143.0,446.0,-25.3333333334,194.888888889,378.666666667,280.666666667,344.666666667,304.0
197.78,76.5218666668,51.7391,178.985566667,-6.9564666666,90.1448666665,159.710133333,135.0725,151.594133334,125.507066667
198.16,51.9997999999,43.6666333333,133.5556,5.11113333342,68.8147999999,123.444333333,109.0,106.8888,103.999866667
198.54,8.26666666662,31.7333333333,127.2,-35.4666666667,32.8888888888,105.866666667,86.9333333333,81.0666666667,90.4
198.92,28.1081333333,50.4505333333,112.072066667,11.5314666667,53.0330666665,98.0180666667,89.6396333334,89.9098000001,88.8286666668
199.30,22.1277333333,40.2836666667,96.2412333334,18.7234,47.3758888889,75.8155,79.0779333332,68.0850666667,75.7447999999
199.68,36.1905333333,47.3468333333,102.313,29.6599333333,56.7345999999,71.4965666667,90.4761333335,77.1427333335,91.7005999999
200.06,30.3810666666,38.6667333333,75.7143,23.9046666667,48.3491555556,53.8571666667,64.4761666667,57.9047333333,69.0475999999
200.44,21.641,27.8461666667,66.1539666667,13.6408666667,35.2136888889,43.8462,62.9744666666,41.0256666667,65.4358666667
200.82,33.5847333333,44.3396333333,82.0126666667,25.0314666667,47.2118444445,60.6290333333,84.9057333333,47.4214666667,93.8365333334
201.19,25.7515333333,36.7974,66.5358,16.6012,40.4357777778,54.183,81.0457666667,37.2549333333,91.634
